outrun|(1, [138622])
come|(421, [418, 2278, 2702, 4140, 4396, 5562, 11624, 11750, 13539, 15242, 15689, 15715, 16040, 17131, 19646, 22071, 22502, 23357, 23891, 23893, 26182, 26854, 27025, 27776, 28207, 29519, 29954, 30315, 34475, 34966, 35531, 36162, 36384, 36423, 36564, 36582, 36587, 44057, 44671, 46423, 49448, 50467, 50638, 51554, 52897, 53592, 54495, 55149, 55427, 55817, 67813, 69339, 71560, 73719, 74928, 76380, 77398, 77781, 78836, 78843, 79822, 81332, 88592, 88931, 89166, 90970, 91706, 91986, 92134, 92555, 93031, 94471, 94482, 94495, 94722, 94739, 96062, 96553, 96632, 96663, 96979, 97578, 97959, 98571, 98598, 98905, 99225, 101092, 101448, 102334, 103673, 105460, 109127, 110522, 110670, 111219, 112580, 112883, 113005, 113434, 113597, 114001, 115273, 115356, 119360, 120474, 120687, 120847, 121669, 122345, 122846, 123314, 123627, 123705, 123806, 124216, 125051, 125240, 125632, 126568, 127149, 127337, 128739, 128914, 132286, 133136, 135710, 138059, 138131, 138151, 138410, 138418, 138602, 138666, 139265, 139659, 140038, 141147, 141513, 142211, 143266, 143364, 143687, 146854, 147137, 147328, 147455, 148484, 148560, 148973, 149834, 152986, 155874, 155962, 156042, 156932, 156994, 159288, 162541, 163479, 164589, 164687, 165067, 166654, 168883, 169078, 169340, 170578, 172141, 172364, 172739, 172834, 173067, 173395, 173956, 174767, 175032, 175241, 175400, 177240, 177460, 178015, 180034, 181641, 181703, 181724, 182242, 183493, 183651, 184922, 185238, 185275, 186137, 186144, 186777, 188055, 188437, 188506, 188658, 189309, 189600, 190385, 190575, 190666, 190917, 191025, 191189, 191202, 191259, 191430, 191509, 191706, 192077, 192553, 192659, 193045, 193726, 195544, 195838, 195869, 196059, 196289, 196445, 196456, 196544, 196686, 196820, 196950, 197469, 197626, 198054, 198093, 198377, 199133, 199336, 199713, 199853, 200033, 200923, 202455, 203072, 204057, 204697, 205316, 205377, 206991, 207298, 207356, 208352, 208973, 209147, 209216, 209968, 210640, 211426, 211937, 212894, 214536, 214613, 215166, 215622, 216042, 216423, 216822, 217757, 217847, 218349, 218963, 219004, 219236, 219309, 219660, 220102, 221025, 222199, 225278, 225705, 225939, 227225, 227328, 227639, 228621, 228699, 229066, 229573, 232318, 233604, 234063, 234471, 235663, 236068, 236558, 236653, 237256, 237495, 237595, 237635, 238463, 240802, 242548, 243307, 243386, 243730, 243734, 244013, 244244, 245613, 246330, 247994, 248403, 248675, 248919, 250713, 250800, 251171, 253130, 253777, 254139, 255402, 255408, 255564, 255595, 255782, 255904, 257063, 258054, 261067, 261110, 261754, 261792, 262002, 262006, 262236, 262282, 264236, 265250, 266215, 269572, 271591, 272341, 272500, 272527, 273881, 274109, 276349, 277811, 277860, 279088, 279097, 279105, 279113, 279120, 279386, 279398, 279840, 279981, 280206, 280564, 280715, 280750, 283498, 283901, 285339, 285410, 289289, 290596, 290735, 291395, 291524, 292531, 293462, 295082, 300194, 300711, 301169, 302227, 305194, 305490, 305586, 305643, 309443, 311128, 315181, 317191, 317243, 317388, 317506, 318665, 319531, 319806, 323551, 324844, 325046, 325050, 325169, 326436, 327507, 327766, 332373, 334703, 335154, 336727, 337798, 338926, 339253, 340306, 346340, 346851, 349327, 355985, 356491, 356737, 357723, 358054, 358271, 358792, 359659, 359932, 360337, 361087, 361246])
scorn|(4, [262067, 310263, 310511, 355841])
let|(243, [468, 1278, 3506, 5917, 8434, 18253, 19414, 22239, 23523, 24918, 26045, 26374, 26713, 26849, 27605, 27703, 28557, 30007, 30163, 32491, 32564, 32670, 32721, 33987, 34529, 34679, 34737, 35041, 35065, 35229, 35309, 36126, 36230, 36248, 36517, 36533, 36917, 37071, 37085, 37408, 37413, 37509, 38094, 39610, 41555, 43819, 44896, 45557, 45668, 47283, 47293, 47686, 49750, 54757, 55484, 57460, 58191, 59312, 59392, 60664, 62461, 63679, 63806, 64118, 65017, 65726, 65754, 66074, 66465, 67263, 67277, 67541, 67778, 69349, 69626, 69638, 69661, 69688, 69725, 69737, 69807, 69907, 70269, 70337, 70692, 74626, 75499, 82891, 93619, 93640, 97884, 98306, 98449, 99431, 99938, 99995, 100090, 104408, 110435, 114211, 119410, 121278, 124572, 127116, 127174, 127815, 127939, 128326, 128843, 128855, 128909, 133705, 134798, 134902, 137298, 137300, 137333, 137336, 139996, 147337, 151282, 151290, 151302, 152468, 152508, 152919, 159837, 160556, 163131, 164851, 165123, 166926, 167197, 170147, 170972, 174740, 176612, 176670, 177049, 180893, 181705, 188495, 188590, 190242, 191212, 191798, 196484, 197734, 198290, 198592, 199160, 205916, 206020, 209252, 212003, 212318, 212465, 212821, 213437, 215685, 216737, 217723, 234964, 236976, 240188, 240460, 240774, 240967, 242168, 247205, 248229, 249001, 250168, 251499, 251869, 257281, 257302, 259703, 261148, 263946, 264543, 265348, 265351, 271756, 272486, 273655, 274033, 277669, 280074, 280085, 280104, 281902, 283413, 285136, 286735, 290782, 290809, 294984, 300547, 301311, 302223, 302859, 302941, 303030, 304814, 306974, 310339, 311656, 313962, 314758, 315411, 317103, 317366, 317378, 319510, 319870, 319970, 320041, 321956, 325123, 326537, 334788, 334809, 334826, 336767, 337026, 340039, 343209, 343215, 343227, 345768, 346842, 349413, 350324, 350332, 350348, 350379, 353675, 354429, 357662, 358707, 360296, 360322])
assailed|(1, [119399])
procure|(26, [3039, 33979, 38956, 40778, 49253, 53396, 73231, 73280, 78010, 111386, 112308, 115037, 145333, 185528, 192265, 219732, 221119, 221543, 222176, 232677, 250257, 264870, 291756, 316173, 336833, 340600])
inland|(1, [228896])
depict|(9, [22449, 30378, 51753, 82102, 82153, 89492, 179399, 237797, 331598])
separate|(14, [10118, 21399, 43221, 132768, 143129, 156699, 211683, 221681, 225045, 237841, 261555, 326894, 327071, 355398])
stride|(5, [27587, 117150, 127376, 164465, 177757])
patronize|(4, [294469, 301208, 332192, 332383])
