immoveable|(1, [137950])
leap-year|(1, [89698])
improper|(2, [71346, 262730])
ethiopian|(2, [244963, 245292])
conceal|(1, [235592])
plebeian|(3, [162519, 258231, 270732])
bed-chamber|(1, [159420])
parti-striped|(1, [126934])
lucrative|(3, [1796, 338908, 340832])
detestable|(6, [93230, 111952, 162607, 166551, 304490, 316010])
decayed|(4, [28175, 115999, 139939, 216029])
fishy|(2, [226237, 231569])
york-town|(1, [296715])
pa|(1, [233230])
inarticulate|(1, [250182])
niente|(1, [307636])
vexatious|(1, [185078])
collateral|(2, [116603, 279415])
lauded|(1, [35589])
troublesome|(5, [9412, 94897, 287673, 311899, 332869])
deceitful|(1, [219460])
dry|(13, [121630, 185869, 205289, 205696, 214291, 214313, 214782, 230602, 232290, 232491, 237075, 238090, 238118])
blackened|(1, [137736])
undammed|(1, [355898])
ninety-nine|(1, [64649])
belial|(1, [323634])
stamped|(1, [161435])
stubby|(1, [306695])
speak|(3, [122431, 122478, 335681])
sinuous|(2, [255312, 269694])
suggestive|(2, [33017, 88524])
human|(131, [790, 14254, 15421, 19747, 25205, 28152, 28772, 30672, 32040, 32050, 34158, 37165, 40968, 42893, 47567, 47752, 47825, 48271, 48450, 48503, 58454, 58484, 58561, 62673, 69168, 75461, 86350, 88147, 93588, 95542, 106168, 111883, 112927, 127673, 128028, 129001, 129309, 129462, 131639, 135903, 136362, 137957, 141668, 142818, 143764, 144006, 150640, 151135, 151554, 151624, 151943, 152295, 152350, 152496, 160090, 163923, 164059, 167537, 169284, 171349, 172963, 182756, 189901, 190270, 190283, 207500, 207633, 210099, 210826, 211316, 217961, 218777, 219894, 220902, 232927, 234147, 234223, 237628, 239611, 244348, 245014, 248514, 249999, 254260, 255207, 255916, 258148, 268423, 269329, 270162, 283054, 284778, 287615, 288897, 291986, 297073, 304287, 304294, 307199, 307233, 307411, 317990, 318978, 321961, 322035, 324629, 329631, 332025, 342510, 343028, 343039, 343336, 343449, 343759, 344141, 344206, 344613, 345597, 346125, 348132, 348868, 349144, 351190, 351477, 352059, 352359, 353560, 353605, 355336, 357657, 359661])
sea-burial|(1, [199690])
southern|(38, [13435, 14911, 27117, 80805, 154491, 156161, 156355, 156520, 156582, 157023, 157296, 157335, 157948, 218289, 219360, 221653, 222508, 222718, 223129, 223340, 223524, 223584, 224800, 226401, 226633, 228955, 230085, 233179, 236071, 237054, 238307, 239874, 243224, 244126, 244659, 249155, 285020, 287099])
cut|(1, [156307])
note-book|(1, [102854])
disgusting|(1, [207568])
intellect|(1, [38765])
singular|(95, [3394, 8260, 13597, 13719, 14876, 15295, 17693, 19926, 21369, 29679, 37116, 55562, 64023, 66260, 77262, 79649, 90885, 92429, 93851, 98196, 98899, 99726, 108358, 116396, 116687, 118132, 118754, 119999, 121080, 135006, 135601, 135809, 136858, 140968, 146412, 149917, 161939, 162880, 163501, 164661, 166420, 167692, 170262, 170294, 171535, 172784, 178061, 186770, 187228, 189914, 190130, 199472, 200072, 206717, 207093, 213779, 220117, 220789, 226335, 229039, 233658, 235327, 239717, 241044, 242987, 244699, 244846, 246022, 251972, 252304, 255098, 255875, 255998, 258351, 265248, 275284, 283370, 287599, 288501, 290411, 290486, 293102, 298774, 306296, 314070, 314273, 318294, 319149, 320449, 322631, 327134, 328497, 331344, 333398, 341839])
se|(1, [136267])
shaggy-haired|(1, [306607])
luminous|(12, [16539, 107578, 117524, 119312, 121213, 129858, 244152, 247190, 247855, 254343, 265010, 334555])
veulent|(1, [131453])
monosyllable|(2, [303952, 317083])
geese|(1, [220012])
candle|(2, [130701, 315937])
frog-like|(1, [330283])
recognisable|(1, [116492])
bloodless|(1, [254232])
uncertain|(5, [73266, 99888, 171790, 201738, 330435])
sprang|(1, [241571])
indicate|(1, [322105])
ermined|(1, [154164])
inglorious|(2, [150588, 342459])
uproar|(1, [96006])
settled|(1, [325438])
recherche|(1, [302463])
soft|(20, [13054, 59175, 134560, 138005, 156896, 173690, 175037, 175405, 191443, 217571, 232148, 233665, 234671, 234755, 246646, 269678, 313106, 323386, 327193, 357177])
rigidly|(1, [51662])
crimpled|(1, [269581])
glow-worm-like|(1, [29892])
enviable|(2, [303377, 303382])
detailed|(3, [71883, 101981, 245152])
pleased|(6, [53217, 103186, 105748, 126950, 300501, 334588])
well-remembered|(1, [361388])
lonely|(4, [67762, 69996, 132254, 248741])
famous|(3, [186073, 295385, 307674])
spinal|(1, [226125])
insufficient|(5, [7713, 12032, 58852, 186303, 324692])
falstaffian|(1, [314493])
flower-pot|(1, [275367])
butt|(1, [336884])
a-kimbo|(3, [17337, 265734, 310553])
uprose|(1, [174942])
attainable|(8, [34391, 60990, 68511, 68552, 149617, 149692, 320808, 341533])
prompt|(2, [292822, 293003])
yard|(1, [235271])
twenty-seven|(6, [189542, 215786, 265052, 265914, 289482, 315769])
happy-dandy|(1, [304614])
rapidly-growing|(1, [247215])
rapacious|(1, [321346])
scientific|(8, [18573, 21083, 24471, 73014, 102025, 102742, 103346, 312251])
seat|(2, [33239, 287452])
never-ceasing|(1, [135117])
rarefied|(1, [8696])
total|(27, [10819, 12208, 52444, 62591, 71601, 77957, 111819, 140629, 144135, 146796, 147163, 147987, 156088, 157965, 160308, 165622, 165796, 170332, 171452, 237742, 239393, 298850, 308406, 315380, 353199, 357935, 360150])
unwarranted|(1, [111602])
indignant|(3, [159889, 177698, 311300])
antiquated|(2, [79668, 287112])
crimsoned|(1, [207808])
nil|(1, [287445])
politic|(1, [89853])
yea-nay|(1, [296924])
respect|(1, [276229])
to-day|(22, [14645, 15072, 16288, 23699, 75779, 97720, 104959, 112009, 126981, 130010, 131367, 159947, 163200, 169975, 197562, 217535, 272484, 273928, 273975, 274380, 318666, 322244])
subterranean|(3, [139311, 148669, 333349])
commenced|(1, [330857])
battle-door|(1, [72765])
official|(2, [1613, 311331])
indistinct|(12, [79692, 123046, 123428, 133261, 161409, 175041, 186188, 244240, 305604, 352488, 357661, 358166])
walking-advertisement|(1, [338131])
explicit|(8, [34313, 83047, 127264, 305335, 323101, 336364, 351710, 351745])
assumed|(1, [176378])
brazen|(4, [122190, 125054, 346477, 361186])
git|(1, [24423])
bittern|(1, [236924])
landlady|(2, [313318, 313787])
arch-enemy|(1, [166910])
undefined|(1, [361092])
self-movement|(1, [106162])
perpetual|(6, [91581, 92981, 112973, 147595, 161811, 358359])
overwhelming|(7, [129600, 208361, 235526, 271930, 282891, 307474, 329481])
submissive|(1, [241641])
novel|(19, [40, 36068, 72255, 79315, 124677, 136602, 138462, 150427, 150495, 150796, 159692, 164435, 164871, 282793, 302029, 342277, 342354, 342701, 358518])
combined|(2, [152518, 344344])
much-bethumbed|(1, [161234])
insensible|(5, [111347, 145168, 146019, 176788, 177333])
physician|(2, [41625, 337673])
shadow-like|(1, [250611])
ravishing|(1, [263331])
pain|(1, [108082])
westward|(1, [254986])
temporal|(3, [129147, 282695, 357855])
punctilious|(2, [263416, 273415])
lingering|(1, [209393])
insignificant|(2, [75453, 284555])
wine-pipe|(1, [314477])
glowing|(1, [8371])
supposable|(1, [63678])
discomfort|(1, [13331])
erudite|(1, [301362])
poet|(4, [150501, 150642, 342361, 342515])
deaf|(1, [259894])
far-fetched|(1, [356119])
coarse|(3, [139474, 219501, 226199])
joyful|(2, [720, 226265])
puffy|(1, [275761])
downward|(2, [100416, 109892])
heir|(1, [282527])
galvanic|(6, [138086, 145553, 145575, 164609, 257209, 330979])
avaricious|(1, [340321])
yon|(1, [271428])
like|(7, [121909, 157549, 170992, 180409, 220549, 293758, 335958])
sundry|(1, [293134])
unemployed|(1, [38079])
pondered|(1, [355223])
dazzling|(4, [132963, 173620, 256097, 353119])
filthy|(4, [268218, 271020, 304487, 321348])
man-animal|(4, [92059, 92368, 93758, 93764])
lege|(1, [274811])
flattish|(1, [232200])
exterior|(3, [2690, 43715, 185450])
impotent|(3, [75600, 248000, 356728])
abundant|(9, [67579, 192922, 219473, 221127, 222206, 223446, 223807, 231529, 241124])
nay|(2, [303384, 306298])
magnificent|(32, [25727, 35581, 71698, 76606, 92636, 92918, 99614, 100572, 124392, 125261, 133429, 135714, 137407, 150774, 153989, 156437, 156672, 246637, 256102, 256319, 258924, 259168, 262031, 264346, 282400, 284685, 296744, 304863, 306831, 310183, 320730, 342676])
irregular|(12, [33751, 104161, 154147, 157039, 158404, 160570, 160834, 161405, 221672, 246881, 249468, 357029])
eighty-seven|(1, [296700])
anxious|(20, [22891, 24778, 26083, 69115, 74678, 101329, 109547, 149379, 163010, 192113, 195862, 214383, 228490, 238835, 276531, 324988, 332969, 333654, 341293, 351786])
contrary|(16, [1422, 7040, 16373, 179257, 182632, 203000, 210919, 218506, 258511, 263108, 274333, 282881, 286209, 321412, 353773, 360096])
joint|(3, [65984, 71984, 74204])
ill-adapted|(1, [339272])
ma-a-an|(1, [336258])
out-of-the-way|(3, [86398, 274527, 337312])
menages-humored|(1, [286199])
chasm-like|(2, [154089, 154631])
unorganized|(3, [107468, 107516, 107675])
retentive|(1, [38367])
boasted|(3, [136217, 247620, 304194])
fur|(3, [25938, 221101, 221704])
foible|(3, [273390, 279427, 279443])
critic|(3, [20873, 151154, 343078])
problematical|(1, [75737])
intuitive|(3, [38649, 307408, 319430])
heartfelt|(1, [279882])
increased|(1, [99012])
surpassing|(1, [360377])
to-|(1, [23899])
thoughtful|(4, [84032, 125757, 138484, 327150])
insolent|(2, [293104, 305969])
dinner-table|(1, [288731])
flattering|(1, [335030])
guess|(3, [85846, 85920, 103095])
rum-puncheon|(1, [314481])
statu|(1, [104434])
horse-jockey|(1, [337052])
unnerved|(5, [111792, 116067, 118087, 122292, 253733])
attributable|(2, [34921, 351004])
suicidal|(1, [316735])
moon-story|(1, [18519])
discordant|(3, [119457, 143761, 356999])
untutored|(1, [135433])
sable|(11, [39321, 125616, 125628, 126483, 138012, 138770, 147097, 269302, 270412, 361060, 361076])
hospitable|(1, [330809])
fantastical-looking|(1, [17274])
fear-enkindled|(1, [359446])
lavish|(1, [287257])
uncharitable|(1, [135650])
text|(1, [239179])
several|(141, [3079, 5137, 10748, 18310, 21179, 21820, 27943, 28162, 29033, 31790, 32668, 37173, 42094, 42401, 42428, 42822, 42866, 43036, 43274, 47791, 49422, 52646, 52840, 53696, 54234, 54300, 63405, 63426, 71173, 73606, 76171, 82529, 85357, 90875, 92930, 93453, 93847, 94006, 96532, 100838, 100890, 101220, 102278, 103007, 109360, 112457, 118554, 127310, 128507, 137374, 141123, 141868, 146402, 148726, 152953, 163511, 165933, 177352, 177439, 178087, 183234, 186503, 188483, 189702, 190976, 191075, 195763, 197266, 200424, 202015, 202190, 202452, 202883, 204141, 204948, 207506, 210526, 211620, 213644, 213748, 214900, 214997, 215214, 215387, 215962, 216721, 217567, 219553, 219645, 221085, 224254, 224919, 225428, 225549, 225863, 225985, 226663, 227020, 228355, 229947, 230008, 230543, 230871, 231656, 235177, 236846, 238260, 238615, 239201, 239677, 241160, 241210, 242851, 245843, 255418, 257679, 260191, 260321, 275940, 286059, 287123, 287319, 287992, 288274, 289178, 292584, 310798, 317019, 322249, 322710, 322767, 322913, 324553, 325587, 326809, 327623, 328425, 330918, 330995, 331024, 331774])
elaborate|(8, [20848, 37958, 101960, 147781, 261857, 312993, 345519, 359595])
extorted|(1, [51840])
startling|(12, [14819, 15954, 39534, 104743, 113560, 137706, 139872, 166302, 171523, 206653, 250274, 321171])
equal|(41, [6889, 8108, 9269, 12833, 17059, 19069, 19700, 38133, 58494, 61812, 61819, 61822, 62428, 73330, 73339, 75908, 83905, 87031, 87069, 87198, 87221, 87249, 91023, 101173, 101208, 103923, 149009, 149687, 153814, 222892, 237691, 266592, 281165, 293084, 301372, 301598, 321078, 337155, 341600, 346627, 357363])
forty-one|(5, [33240, 33493, 34078, 150202, 342136])
philosophic|(2, [355772, 359287])
singularly-marked|(1, [132518])
semi-druidical|(1, [249252])
parti-colored|(3, [132586, 249311, 250639])
navigator|(1, [213766])
treble|(2, [39567, 263968])
wish|(7, [83238, 99682, 110615, 113257, 210094, 294722, 300472])
prohibited|(1, [268490])
unassassinated|(1, [57185])
hair-splitting|(1, [308221])
boys|(2, [66378, 275597])
solemn|(12, [79201, 126080, 132664, 134162, 147733, 153294, 160828, 160834, 164548, 248950, 249812, 358120])
irrecoverable|(1, [147689])
proportional|(1, [167077])
crafty|(1, [356387])
antiquarian|(2, [318421, 322783])
inclusive|(1, [131751])
functionary|(4, [1558, 51262, 85401, 86577])
si|(1, [169873])
orb|(1, [321778])
peep|(1, [276730])
appear|(1, [217167])
olive|(2, [215550, 323375])
opium-eater|(1, [300605])
witty|(1, [162979])
top-gallant|(1, [80055])
porous|(1, [145459])
adamant|(2, [106685, 144980])
canine|(1, [196405])
pest-ilential|(1, [270813])
ever-memorable|(1, [292089])
même|(1, [336187])
schooner-rigged|(1, [97312])
diabolical|(3, [189492, 212602, 281552])
new|(72, [16556, 21970, 22000, 22469, 23950, 24019, 27949, 32930, 33031, 35725, 36092, 56296, 63739, 63770, 68479, 79316, 79320, 79493, 99390, 100140, 100929, 106997, 107043, 115072, 125813, 128958, 131181, 149091, 153980, 154636, 154662, 167361, 169060, 180430, 180526, 181417, 183921, 203609, 219392, 230322, 240995, 253467, 255136, 255552, 255750, 256760, 270040, 272827, 279746, 284152, 284746, 289948, 299430, 303676, 303708, 305889, 311842, 320598, 320608, 320881, 321273, 322165, 322285, 329158, 330978, 333225, 334182, 336960, 338482, 354838, 358567, 359080])
gruff|(9, [41825, 42171, 42391, 42445, 42757, 42814, 44935, 44998, 148673])
congenial|(1, [283838])
democratic|(2, [333364, 340569])
roughened|(1, [101038])
sheltered|(1, [249795])
discriminative|(1, [344596])
hereditary|(6, [167038, 170022, 264205, 282236, 284023, 284121])
geological|(5, [7080, 16151, 17115, 151434, 359602])
embarrassing|(1, [263274])
inimitable|(7, [165058, 292123, 295614, 296333, 324213, 335378, 351313])
ocean-crag|(1, [171336])
bloodthirsty|(2, [232994, 242237])
foregoing|(1, [186702])
swan-like|(1, [282748])
lazy|(1, [275685])
golden|(21, [28854, 29197, 81178, 100374, 119269, 124865, 132428, 137318, 144196, 154042, 154971, 159920, 174057, 174862, 174972, 247877, 249310, 250301, 323281, 324019, 354030])
dancing|(1, [303271])
frank|(6, [34696, 83207, 103266, 261967, 262048, 301368])
marble|(14, [133976, 134070, 134426, 134580, 134587, 134595, 135070, 137234, 144399, 176401, 246363, 322727, 322827, 334003])
moody|(1, [324722])
hairy|(1, [60516])
fortuitous|(2, [149465, 341384])
web-feet|(1, [91294])
contested|(1, [242037])
everyday|(4, [116032, 132140, 161626, 174392])
gloomy-looking|(1, [249229])
told|(1, [344009])
de|(9, [23334, 23536, 23594, 26144, 262122, 266084, 281005, 314748, 315520])
ineffable|(4, [80357, 173208, 280656, 293379])
pentagonal|(1, [249146])
fools|(1, [86635])
concentrative|(2, [38040, 38339])
unpardonable|(4, [159961, 261932, 270608, 307360])
soporific|(1, [188769])
african|(1, [119886])
nill-i|(1, [129250])
ill-admeasurement|(1, [86157])
beseamed|(1, [161239])
pemmican|(1, [4226])
approbatory|(1, [323889])
infirm|(1, [53635])
ungrammatical|(1, [293546])
twenty-five|(14, [3433, 15033, 15486, 104725, 140427, 150181, 207497, 243276, 286827, 306201, 315649, 339699, 339725, 342114])
varnish|(1, [3679])
unvarying|(2, [31515, 341493])
astonished|(4, [27593, 89463, 197807, 284737])
vivacious|(2, [117398, 117774])
undeviating|(2, [2643, 12867])
rigorous|(11, [38952, 60974, 114369, 115370, 146559, 157864, 251112, 253416, 289924, 338920, 359959])
mine|(5, [123985, 136696, 175217, 246125, 246278])
reducible|(1, [106104])
ghastly-looking|(1, [268946])
undergoing|(1, [40268])
hair-like|(1, [189969])
self-willed|(1, [160251])
slant|(1, [132541])
stern|(20, [11803, 99948, 108407, 117364, 137954, 148531, 158985, 167104, 198682, 208254, 210840, 211997, 212172, 241984, 247497, 247978, 259649, 313100, 328214, 339304])
audacious|(4, [7850, 215006, 276686, 310387])
unequivocally|(1, [309550])
seared|(1, [143704])
fatigued|(1, [305808])
ordinary|(102, [5624, 7353, 22819, 30441, 35185, 37807, 38149, 38324, 43979, 44488, 45678, 46716, 47703, 54772, 56731, 56893, 56994, 57349, 62551, 62741, 65585, 71033, 75621, 75638, 83321, 84936, 85182, 86435, 86444, 87368, 87524, 88074, 91064, 96316, 102750, 105081, 112119, 117195, 118421, 120484, 120489, 121727, 125863, 130957, 141778, 144261, 144380, 144819, 145191, 145804, 146898, 148152, 148632, 148930, 150124, 152722, 155517, 156394, 162593, 162807, 163300, 170818, 171507, 182384, 195485, 199119, 214511, 227432, 245746, 246782, 248150, 254366, 255083, 259351, 264034, 265515, 265789, 267749, 273620, 275931, 285681, 286358, 287182, 288004, 289105, 290251, 306383, 308821, 311929, 315723, 324601, 333916, 337334, 337754, 338916, 342060, 344513, 346052, 352027, 352070, 352186, 359269])
dat|(8, [23163, 23187, 23482, 27800, 28599, 265951, 266140, 266267])
future|(7, [36311, 115339, 132065, 212002, 220369, 293755, 322969])
nameless|(4, [83110, 126276, 148634, 253636])
inverted|(2, [116226, 153928])
stupid-looking|(1, [290773])
safe|(14, [5647, 26370, 91517, 131014, 131042, 131046, 180851, 194379, 200297, 212724, 242698, 290339, 315681, 320613])
retail|(3, [310169, 318598, 339957])
crazy|(1, [291578])
sea|(1, [224401])
large|(208, [157, 594, 1011, 1230, 3067, 3447, 4219, 5067, 10218, 10684, 19176, 19685, 22142, 22394, 28186, 28265, 29035, 29073, 29181, 34114, 35815, 36820, 40009, 40241, 40873, 40998, 41686, 43074, 43183, 45702, 45856, 48519, 48775, 48919, 51231, 52970, 56017, 62720, 65050, 69056, 76185, 84351, 87724, 87898, 88203, 88344, 88434, 91661, 96720, 99155, 100029, 100747, 102391, 102944, 102976, 103235, 104000, 112334, 113746, 113751, 113777, 114329, 117246, 117519, 132961, 134075, 137268, 144601, 147909, 149246, 150092, 151575, 157491, 158258, 158401, 158539, 159361, 159620, 159684, 159711, 160360, 161382, 163512, 165371, 165890, 167587, 177347, 180657, 181130, 181359, 184208, 184800, 186151, 186506, 187528, 189165, 191941, 192578, 195765, 197110, 198230, 198836, 200096, 200585, 204617, 206780, 206882, 210635, 213348, 213452, 214070, 215012, 216077, 217348, 219477, 219610, 220009, 221805, 222206, 223208, 223352, 223462, 224920, 225013, 225041, 225131, 225147, 225604, 225905, 227021, 227204, 227310, 227536, 228145, 228415, 229675, 230141, 230236, 230575, 232636, 236479, 236919, 237084, 237424, 237808, 238098, 238261, 239678, 241127, 241775, 241808, 242145, 242428, 242683, 243447, 243850, 246064, 246737, 247007, 247188, 247283, 250479, 254236, 254295, 254929, 255578, 258264, 258553, 260126, 265009, 267662, 267932, 269658, 275390, 275409, 275648, 276067, 276176, 286814, 286994, 287329, 290346, 290508, 297670, 303623, 304548, 305054, 307154, 310347, 311564, 311785, 312503, 313450, 314549, 322417, 323823, 328820, 333927, 336454, 338632, 341126, 342023, 343367, 346416, 348319, 348515, 356438, 357202])
inextricable|(2, [19117, 74498])
first-mentioned|(1, [89453])
dirteen|(1, [277257])
especial|(18, [18267, 26998, 31141, 34445, 36836, 86917, 88199, 108700, 128118, 146943, 220610, 257791, 269802, 280345, 308139, 333680, 334337, 345835])
sugar-cane|(1, [221959])
sane|(1, [290418])
marvellous|(11, [47814, 51591, 64996, 103429, 113402, 157871, 278978, 289804, 290389, 340989, 346063])
distant|(21, [7521, 18774, 52579, 95685, 116278, 121942, 132260, 153220, 163128, 175247, 219326, 221349, 241195, 241699, 242083, 242376, 242499, 258270, 266647, 357355, 357394])
pupilless|(1, [171953])
confirmed|(1, [108921])
indecent|(3, [68861, 145227, 296860])
amusement|(1, [43838])
hawk-nose|(1, [267663])
snuff-box|(1, [306363])
scriptural|(1, [340985])
sx|(1, [281419])
unmolested|(2, [3874, 196880])
loved|(3, [101649, 112872, 359328])
extinct|(4, [178216, 234606, 356455, 357188])
unlucky|(1, [331853])
complex|(8, [37980, 72900, 108001, 264344, 307195, 345715, 350723, 351115])
upbraid|(1, [252648])
bible|(1, [18360])
attractive|(1, [87814])
mingled|(6, [57427, 117208, 135458, 136425, 237789, 285606])
glow|(1, [186189])
uncomprehended|(1, [146065])
low|(89, [39503, 49792, 61530, 69088, 76318, 77325, 79158, 79959, 80457, 82124, 96784, 105847, 115864, 117211, 118948, 120842, 121120, 121939, 122370, 122702, 123092, 123526, 127981, 128456, 128745, 131005, 132705, 134748, 134752, 135443, 140829, 142473, 143564, 161107, 162448, 164369, 164554, 165233, 165841, 167273, 168524, 168888, 169643, 172457, 172875, 181658, 183071, 184721, 187272, 188109, 188844, 200612, 202069, 217873, 222431, 226305, 228058, 230216, 232127, 239336, 243651, 246037, 246355, 247536, 248083, 248390, 248680, 249340, 250127, 250790, 251411, 252302, 252627, 254227, 255887, 283556, 285562, 287835, 293281, 297476, 299931, 315054, 315495, 327308, 334384, 357239, 357354, 361103, 361280])
gazed|(1, [251736])
rugged|(6, [16765, 152429, 154484, 229426, 238457, 344281])
passive|(4, [19318, 67349, 209731, 357111])
furnishing|(1, [33027])
ominous|(3, [134289, 303936, 303973])
nature|(2, [149372, 152599])
resplendently-blooming|(1, [159714])
touch-and-go|(2, [280059, 280097])
movable|(1, [158269])
traitorous|(1, [174488])
rascally|(1, [339187])
ensanguined|(1, [207903])
unforgotten|(1, [249035])
heavenly|(5, [2614, 43692, 106599, 305285, 359867])
incoherent|(2, [163869, 282911])
importunate|(2, [116294, 119717])
cocoa-nuts|(1, [77186])
zodiacal|(3, [6943, 16405, 21106])
ancestral|(1, [253913])
inviolate|(1, [290096])
purple|(8, [124753, 124765, 154907, 173718, 253825, 267792, 275623, 360910])
bee-line|(1, [34237])
dangerous|(15, [35911, 35926, 50353, 83474, 96630, 121290, 134999, 164251, 195402, 218903, 240296, 284390, 285979, 320907, 337902])
congealed|(1, [172832])
here-i|(1, [143588])
prognostic|(1, [151478])
alphabetical|(2, [239624, 244773])
working|(2, [65863, 330343])
advantageous|(3, [55363, 150475, 342330])
enduring|(4, [67310, 253045, 325409, 355727])
brilliant|(23, [1038, 13411, 17380, 22133, 22251, 94512, 135024, 159734, 173800, 173988, 219462, 219814, 225608, 227087, 227144, 246864, 261483, 279742, 292094, 294016, 355110, 355161, 359655])
barbarous|(3, [232989, 308950, 323509])
gentleman-like|(1, [298395])
goole|(2, [22192, 28588])
gaseous|(2, [121217, 360218])
inevitable|(11, [8498, 15871, 78905, 93012, 144211, 149041, 241975, 304455, 321264, 331557, 359143])
mute|(1, [44570])
fastidious|(5, [153080, 153992, 166340, 259189, 326222])
strenuous|(3, [268830, 272152, 299837])
committed|(3, [38006, 64908, 64931])
nice|(11, [151754, 152006, 180762, 232010, 300627, 302447, 308255, 339069, 340005, 343569, 343828])
using-up|(2, [292892, 297505])
dignitary|(1, [88071])
evil|(16, [79278, 89268, 91811, 94759, 119391, 160026, 166514, 166912, 171710, 316770, 319606, 340160, 355910, 355914, 356058, 356064])
superfluous|(8, [54205, 68077, 150251, 242876, 267162, 291985, 323440, 342182])
misty-winged|(1, [246256])
unus|(1, [36465])
mon|(1, [288597])
com|(1, [277299])
unmerited|(1, [248245])
syrian|(2, [34934, 35176])
acrid|(2, [141533, 219530])
chain-cable|(3, [184601, 190980, 199320])
pestilential|(1, [185783])
unworldliness|(1, [159153])
twentieth|(3, [14908, 97737, 341698])
unstrung|(2, [140168, 147587])
formal|(3, [160652, 232789, 261954])
replete|(5, [144017, 161341, 171087, 172602, 206619])
indescribable|(13, [110984, 159099, 176549, 208914, 209515, 216319, 255167, 255446, 260873, 268047, 270074, 299151, 314476])
covered|(2, [3501, 133532])
contiguous|(1, [282137])
ungentlemanly|(2, [94666, 336322])
inner|(6, [107374, 107379, 107385, 165921, 171774, 309582])
northwestern|(2, [156618, 221509])
angry|(11, [40831, 41819, 95749, 123868, 162549, 165416, 177628, 185944, 279177, 305222, 315391])
flourish|(1, [331216])
cataleptic|(2, [147126, 149114])
ungreeted|(1, [316539])
thirty-first|(1, [313546])
consumptive|(1, [270478])
ever-prevalent|(1, [148194])
bullet-headed|(1, [319487])
subterrene|(1, [123058])
misty|(5, [171743, 171782, 254999, 268625, 321497])
prison-like|(1, [160593])
inclined|(9, [5221, 72096, 72171, 72819, 100437, 188817, 301491, 315543, 315706])
imperishable|(1, [30427])
bigoted|(1, [319111])
red|(43, [1269, 1275, 8456, 22843, 30944, 31842, 36542, 78610, 88449, 115780, 122989, 123348, 142494, 143601, 155024, 158170, 180460, 182844, 186512, 199586, 199616, 207247, 226207, 227046, 231596, 231905, 267842, 269428, 270500, 272605, 275155, 275459, 275634, 277380, 278625, 283065, 283100, 308333, 311933, 326658, 360250, 360603, 360637])
intimate|(8, [116400, 165170, 175619, 179518, 193491, 290016, 302043, 326031])
deep-set|(2, [24240, 159161])
jaded|(1, [179071])
au|(6, [19950, 48971, 82384, 83650, 282029, 333572])
nigh|(1, [245615])
taper|(1, [323936])
emaciated|(4, [118426, 122682, 250103, 269188])
sentient|(2, [131732, 172264])
boisterous|(6, [96504, 96618, 97664, 224564, 307689, 326681])
plural|(1, [102645])
habitual|(13, [9229, 11962, 12615, 116415, 117735, 142552, 163939, 254901, 267575, 281260, 284613, 307562, 332811])
weird|(4, [144003, 153684, 256262, 355495])
sound|(5, [15938, 122264, 182006, 213505, 356996])
indeterminate|(1, [159607])
man-traps|(1, [334728])
eighty-six|(2, [150192, 342126])
canst|(1, [147303])
cheek|(1, [251068])
double-shotted|(1, [233074])
dusky-red|(1, [77332])
infamous|(2, [233582, 294655])
unruffled|(3, [8155, 9465, 116202])
nonchalant|(1, [310446])
uninjured|(1, [213198])
antarctic|(2, [225624, 226766])
blackfish|(1, [230179])
superior|(11, [7234, 36849, 38091, 152550, 153303, 242052, 263648, 309044, 318359, 319614, 344372])
fretted|(1, [160462])
shop-keeper|(1, [311081])
measurable|(1, [344335])
glassy|(4, [109988, 132473, 253896, 307158])
austrian|(1, [126849])
argent|(1, [295235])
forlorn|(2, [182703, 241918])
chimerical|(2, [74973, 359711])
abound|(1, [65820])
drowned|(3, [54696, 58137, 58227])
birth-day|(1, [341878])
nouellement|(1, [19956])
statuary|(1, [136232])
sixty-fifth|(1, [224293])
extravagant|(7, [28014, 165400, 183090, 206855, 210725, 232898, 314182])
expect|(1, [111971])
impatient|(3, [130046, 130394, 262255])
close-hauled|(2, [5759, 177416])
particular|(54, [2094, 2398, 3108, 3214, 17704, 17711, 19408, 27011, 32132, 32460, 34009, 40134, 45943, 58289, 60969, 61749, 69794, 86842, 86925, 88246, 90560, 90663, 102314, 107085, 107482, 113351, 119146, 144039, 190195, 194576, 213915, 220361, 232228, 267768, 269211, 269513, 279567, 279771, 284276, 284334, 284655, 287603, 289683, 290525, 290907, 303586, 307083, 308002, 330314, 336091, 340377, 345748, 349083, 349396])
phosphorous|(2, [180971, 181534])
solitary|(14, [64004, 68344, 88303, 93245, 115784, 132156, 147119, 172397, 182559, 256300, 284870, 303478, 316687, 322980])
half-engendered|(1, [192876])
osprey|(1, [220025])
middle-aged|(1, [313020])
rekindled|(1, [213275])
accurate|(7, [14228, 84165, 84668, 84849, 238944, 257384, 270899])
cannibal|(1, [211601])
capital-o|(1, [280794])
notice|(2, [54379, 300071])
odor|(1, [119314])
cant|(2, [299961, 355925])
hidden|(5, [46112, 86175, 149375, 281929, 341291])
inasmuch|(2, [21071, 357613])
southerly|(3, [221535, 243045, 325123])
new-style|(1, [338599])
utterly|(24, [4640, 20830, 80753, 109204, 111346, 120796, 125777, 125918, 157867, 164906, 167773, 177021, 182969, 185860, 207395, 208430, 217013, 221203, 223537, 243910, 267702, 283864, 293383, 320180])
arithmetic|(1, [70820])
botanical|(1, [301958])
salvatorish|(1, [156485])
